avg_packet_size,byte_rate,duration,tcp_pct,unique_dst_ports,syn_ratio,ground_truth
1064.82,387344.8,219.04,0.79,2,0.03,Priority
168.17,74020.16,0.18,0.38,63,0.69,Suspicious
1295.11,39895.43,3.51,0.91,1,0.12,Normal
132.4,69654.61,0.2,0.31,20,0.65,Suspicious
129.2,18821.03,0.3,0.22,78,0.62,Suspicious
178.71,31501.95,0.24,0.31,40,0.56,Suspicious
414.63,13227.3,7.16,0.74,4,0.05,Normal
218.55,23243.72,1665.4,0.27,1,0.04,Priority
59.22,11250.2,0.4,0.18,45,0.43,Suspicious
694.62,1844.6,7.4,0.89,1,0.03,Normal
734.67,19853.39,1.6,0.88,2,0.03,Normal
68.89,1036.12,0.37,0.52,143,0.58,Suspicious
61.72,32084.53,2.88,1.0,2,0.87,Suspicious
50.4,18033.74,1.34,0.9,1,0.78,Suspicious
114.63,234.54,0.34,0.56,63,0.9,Suspicious
299.96,80965.9,1225.97,0.11,1,0.02,Priority
1092.36,16579.66,9.4,0.82,1,0.09,Normal
61.22,47637.16,1.47,0.92,2,0.8,Suspicious
1438.37,867989.76,95.35,0.94,1,0.04,Priority
152.22,51255.27,0.15,0.25,19,0.6,Suspicious
1069.64,224974.37,24.09,0.92,2,0.03,Priority
767.06,13253.36,9.13,0.66,1,0.09,Normal
51.0,23053.64,4.73,0.89,2,0.77,Suspicious
1180.74,119685.22,252.0,0.95,2,0.02,Priority
1467.57,424675.56,47.16,0.64,1,0.04,Priority
105.79,403.53,0.94,0.46,170,0.54,Suspicious
1268.46,23624.31,3.2,0.73,3,0.11,Normal
1259.19,736482.36,130.63,1.0,1,0.01,Priority
256.31,21793.89,2972.64,0.29,2,0.01,Priority
1276.66,309728.03,292.42,0.51,3,0.05,Priority
944.02,38528.18,2.29,0.94,4,0.03,Normal
856.35,13120.62,2.16,0.65,5,0.11,Normal
68.52,23642.7,1.37,0.96,2,0.94,Suspicious
107.05,19291.7,0.07,0.11,45,0.55,Suspicious
96.52,77682.63,0.44,0.33,33,0.45,Suspicious
157.92,72781.48,0.17,0.14,73,0.64,Suspicious
44.38,58481.53,0.05,0.16,29,0.54,Suspicious
1230.88,52011.92,7.71,0.64,1,0.11,Normal
64.48,5982.43,4.97,0.88,2,0.81,Suspicious
152.01,76967.98,0.09,0.15,30,0.43,Suspicious
1085.39,488334.06,229.98,0.62,3,0.01,Priority
1006.43,1542.63,1.1,0.83,5,0.06,Normal
1356.4,310070.79,328.65,0.9,1,0.04,Priority
798.56,11039.01,2.62,0.69,4,0.09,Normal
1328.05,348574.08,538.33,0.9,3,0.04,Priority
1306.1,26629.27,3.57,0.83,1,0.05,Normal
267.16,95633.52,3173.8,0.16,2,0.04,Priority
69.34,617.28,0.46,0.62,190,0.58,Suspicious
1122.9,39029.23,7.31,0.77,4,0.15,Normal
756.17,22967.93,3.25,0.82,5,0.12,Normal
112.88,1104.15,0.87,0.42,114,0.77,Suspicious
67.93,9830.71,2.09,0.96,2,0.81,Suspicious
1381.69,579869.05,51.92,0.96,1,0.02,Priority
1164.06,337165.73,508.93,0.52,2,0.02,Priority
671.22,47894.99,2.37,0.66,1,0.11,Normal
1179.85,651869.15,198.45,0.98,2,0.03,Priority
1146.31,30315.77,4.67,0.82,2,0.08,Normal
232.18,99788.53,3216.51,0.14,1,0.02,Priority
1377.86,30946.05,5.57,0.85,2,0.03,Normal
1082.94,54300.61,2.39,0.63,1,0.13,Normal
1300.76,55870.32,3.9,0.77,2,0.04,Normal
64.99,8231.85,4.17,0.99,2,0.84,Suspicious
182.88,74044.4,1196.34,0.15,1,0.02,Priority
1148.26,11886.74,2.17,0.73,2,0.12,Normal
545.57,24960.49,1.22,0.8,5,0.1,Normal
59.13,23346.16,4.86,0.88,1,0.71,Suspicious
637.73,35468.9,3.93,0.61,4,0.11,Normal
1495.35,154017.5,137.44,0.84,3,0.05,Priority
90.1,29246.87,0.16,0.41,37,0.51,Suspicious
643.77,18528.37,5.81,0.79,1,0.11,Normal
270.23,78642.6,455.86,0.29,2,0.01,Priority
1090.32,56756.42,6.86,0.72,1,0.11,Normal
114.45,74287.69,0.4,0.21,60,0.35,Suspicious
1257.55,31336.06,6.87,0.63,2,0.03,Normal
1261.41,12607.24,1.69,0.67,5,0.02,Normal
1123.08,396778.29,394.49,0.58,3,0.03,Priority
1031.05,2474.06,7.24,0.78,2,0.06,Normal
66.18,36284.53,2.04,0.9,2,0.83,Suspicious
140.79,57118.02,578.2,0.4,1,0.04,Priority
1089.56,25121.78,2.14,0.74,2,0.11,Normal
